date,city,temperature,humidity,pressure,windSpeed,precipitation
2024-01-01,Copenhagen,2.5,85,1012,18.0,4.2
2024-01-02,Copenhagen,1.0,88,1008,22.0,6.1
2024-01-03,Copenhagen,-3.5,79,1020,12.5,0.0
2024-01-04,Copenhagen,4.0,83,1005,28.0,8.4
2024-01-05,Copenhagen,6.5,76,1009,15.0,1.2
2024-01-01,Aarhus,1.5,82,1011,16.0,3.5
2024-01-02,Aarhus,0.0,86,1007,20.0,5.8
2024-01-03,Aarhus,-2.0,78,1018,11.0,0.0
2024-01-04,Aarhus,3.0,81,1006,25.0,7.0
2024-01-05,Aarhus,5.0,75,1010,14.0,0.8
2024-01-01,Odense,2.0,84,1013,17.0,2.9
2024-01-02,Odense,0.5,87,1009,21.0,6.5
2024-01-03,Odense,-1.5,80,1019,10.5,0.0
2024-01-04,Odense,3.5,82,1004,27.0,7.8
2024-01-05,Odense,5.8,74,1008,13.5,1.0